BLOCK HEIGHT | TX KIND  | AMOUNT           | TX ID                                | EXIT CODE    | VALIDATOR 
274684       | bond     | 941.356693       | b4865f2a...7c554432                  | applied      | tnam1q8l...wvav4amt
274684       | claimRewards | -                | 51da944c...8164c578                  | applied      | tnam1q8l...wvav4amt
214170       | claimRewards | -                | e73b6063...08728f6f                  | applied      | tnam1q8l...wvav4amt
214170       | bond     | 62.115373        | b6c3609c...9f767ef0                  | applied      | tnam1q8l...wvav4amt
211518       | bond     | 124.265195       | b0429770...d6952bfe                  | applied      | tnam1q8l...wvav4amt
211518       | claimRewards | -                | cf1990a9...568da306                  | applied      | tnam1q8l...wvav4amt
205554       | claimRewards | -                | 104b5ce3...cc290dc2                  | applied      | tnam1q8l...wvav4amt
205554       | bond     | 63.371039        | 285267ab...8c7b08ec                  | applied      | tnam1q8l...wvav4amt
200539       | bond     | 50.000000        | 8336245b...53ef4abe                  | applied      | tnam1q8l...wvav4amt
200535       | claimRewards | -                | d1c0819d...e0953b14                  | applied      | tnam1q8l...wvav4amt
199462       | bond     | 129.956286       | 12811faa...0ae5999c                  | applied      | tnam1q8l...wvav4amt
199462       | claimRewards | -                | da685a14...04d6a23d                  | applied      | tnam1q8l...wvav4amt
191132       | claimRewards | -                | d281cca5...0ddae2ac                  | applied      | tnam1q8l...wvav4amt
191132       | bond     | 67.087372        | 87140915...bda5ff8d                  | applied      | tnam1q8l...wvav4amt
188541       | bond     | 67.148211        | fb9ecf38...22c698dc                  | applied      | tnam1q8l...wvav4amt
188541       | claimRewards | -                | 449413fb...b74b451f                  | applied      | tnam1q8l...wvav4amt
186595       | bond     | 134.359882       | 53148b50...fc04d3d7                  | applied      | tnam1q8l...wvav4amt
186595       | claimRewards | -                | f69afb07...843f5f4a                  | applied      | tnam1q8l...wvav4amt
178688       | claimRewards | -                | 5914d387...c7e5c123                  | applied      | tnam1q8l...wvav4amt
178688       | bond     | 54.820056        | debd41e5...efa76724                  | applied      | tnam1q8l...wvav4amt
177453       | voteProposal | -                | 86b5cd53...32eac77f                  | applied      | -         
175818       | claimRewards | -                | 04a4ff71...3c11c8c7                  | applied      | tnam1q8l...wvav4amt
175818       | bond     | 50.912146        | 08a49f84...0f92a3b3                  | applied      | tnam1q8l...wvav4amt
174733       | bond     | 99999.000000     | 15b50b2f...10e2f4f1                  | applied      | tnam1q8l...wvav4amt
174679       | bond     | 87.226604        | 807a4ff0...e69dc410                  | applied      | tnam1q8l...wvav4amt
174679       | claimRewards | -                | 3979430f...eafcf9b5                  | applied      | tnam1q8l...wvav4amt
168834       | claimRewards | -                | fed81252...c8303308                  | applied      | tnam1q8l...wvav4amt
168834       | bond     | 119.753607       | 740cf122...909c289c                  | applied      | tnam1q8l...wvav4amt
152863       | bond     | 99899.850000     | dc86ba30...7b3ff4d4                  | applied      | tnam1q8l...wvav4amt
64654        | bond     | 100.000000       | 1ea0797c...c87b3739                  | applied      | tnam1q8l...wvav4amt
19718        | bond     | 100000.000000    | a23cdbb5...a23ad6e2                  | applied      | tnam1q8l...wvav4amt
2828         | bond     | 99990.000000     | b474513f...3504f94f                  | applied      | tnam1q8l...wvav4amt
1267         | bond     | 99999.700000     | 60ae4b33...1e8419f5                  | applied      | tnam1q8l...wvav4amt
1225         | bond     | 10.000000        | 8af323bd...66a5e454                  | applied      | tnam1q8l...wvav4amt
1225         | revealPk | -                | 1772aa0e...09d42358                  | applied      | -         
